name,id,description
Parque Estadual Abaitará,5563,nature reserve in Brazil (Parque Estadual)
Reserva Biológica Abufari,617,nature reserve in Brazil (Reserva Biológica)
Parque Estadual Acaraí,4816,nature reserve in Brazil (Parque Estadual)
Parque Nacional Acari,4847,nature reserve in Brazil (Parque Nacional)
Estação Ecológica Acauã,2134,nature reserve in Brazil (Estação Ecológica)
Reserva Extrativista Acaú-Goiana,4866,nature reserve in Brazil (Reserva Extrativista)
Floresta Nacional Açu,2792,nature reserve in Brazil (Floresta Nacional)
Floresta Estadual Afluente do Complexo do Seringal Jurupari (PROVISÒRIA),5460,nature reserve in Brazil (Floresta Estadual)
Reserva Biológica Aguaí,1155,nature reserve in Brazil (Reserva Biológica)
Estação Ecológica Água Limpa,2114,nature reserve in Brazil (Estação Ecológica)
Parque Estadual Aguapeí,2940,nature reserve in Brazil (Parque Estadual)
Parque Estadual Águas da Billings,6031,nature reserve in Brazil (Parque Estadual)
Parque Estadual Águas da Prata,1055,nature reserve in Brazil (Parque Estadual)
Área de Relevante Interesse Ecológico Águas de São João,3081,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Estação Ecológica Águas do Cuiabá,2311,nature reserve in Brazil (Estação Ecológica)
Parque Estadual Águas do Paraíso,6050,nature reserve in Brazil (Parque Estadual)
Estação Ecológica Águas Emendadas,1299,nature reserve in Brazil (Estação Ecológica)
Área de Relevante Interesse Ecológico Águas Emendadas dos Inhamuns,5646,nature reserve in Brazil (Área de Relevante Interesse Ecológico)
Parque Estadual Águas Lindas,5644,nature reserve in Brazil (Parque Estadual)
Parque Estadual Águas Quentes,1175,nature reserve in Brazil (Parque Estadual)
Área de Proteção Ambiental Águas Vertentes,2821,nature reserve in Brazil (Área de Proteção Ambiental)
Refúgio de Vida Silvestre Aimorés,5652,nature reserve in Brazil (Refúgio de Vida Silvestre)
Estação Ecológica Aiuaba,1008,nature reserve in Brazil (Estação Ecológica)
Parque Estadual Alberto Lofgren (Horto),5003,nature reserve in Brazil (Parque Estadual)
Reserva de Desenvolvimento Sustentável Alcobaça,3168,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável)
Área de Proteção Ambiental Aldeia Beberibe,5479,nature reserve in Brazil (Área de Proteção Ambiental)
Área de Proteção Ambiental Algodoal-Maiandeua,774,nature reserve in Brazil (Área de Proteção Ambiental)
Floresta Nacional Altamira,1328,nature reserve in Brazil (Floresta Nacional)
Parque Estadual Altamiro de Moura Pacheco,2576,nature reserve in Brazil (Parque Estadual)
