name,id,description,search_term,wikidata_id,wikidata_label,wikidata_description
Reserva Biológica Abufari,617,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Abufari,Q4670538,Abufari Biological Reserve,NONE
Estação Ecológica Acauã,2134,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Acauã,Q6785906,Mata do Acauã Biological Reserve,NONE
Reserva Extrativista Acaú-Goiana,4866,nature reserve in Brazil (Reserva Extrativista),Reserva Extrativista Acaú-Goiana,Q10359656,Acaú-Goiana Extractive Reserve,NONE
Floresta Nacional Açu,2792,nature reserve in Brazil (Floresta Nacional),Floresta Nacional Açu,Q96614924,NONE,NONE
Reserva Biológica Aguaí,1155,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Aguaí,Q96613935,Reserva Biológica Estadual do Aguaí,reserve in Brazil
Estação Ecológica Água Limpa,2114,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Água Limpa,Q96614561,NONE,NONE
Parque Estadual Aguapeí,2940,nature reserve in Brazil (Parque Estadual),Parque Estadual Aguapeí,Q27791998,Aguapeí State Park,"state park in São Paulo, Brazil"
Parque Estadual Águas da Billings,6031,nature reserve in Brazil (Parque Estadual),Parque Estadual Água da Billings,Q96740892,NONE,NONE
Parque Estadual Águas da Prata,1055,nature reserve in Brazil (Parque Estadual),Parque Estadual Água da Prata,Q96740893,Águas da Prata State Park,"state park in Águas da Prata, São Paulo, Brazil"
Área de Relevante Interesse Ecológico Águas de São João,3081,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Águas de São João,Q96611676,NONE,NONE
Estação Ecológica Águas Emendadas,1299,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Águas Emendada,Q10275713,Águas Emendadas Ecological Station,NONE
Área de Relevante Interesse Ecológico Águas Emendadas dos Inhamuns,5646,nature reserve in Brazil (Área de Relevante Interesse Ecológico),Área de Relevante Interesse Ecológico Águas Emendadas dos Inhamuns,Q96611747,NONE,NONE
Parque Estadual Águas Lindas,5644,nature reserve in Brazil (Parque Estadual),Parque Estadual Águas Linda,Q86737655,NONE,NONE
Parque Estadual Águas Quentes,1175,nature reserve in Brazil (Parque Estadual),Parque Estadual Águas Quente,Q22074051,Águas Quentes State Park,"state park in Mato Grosso, Brazil"
Estação Ecológica Aiuaba,1008,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Aiuaba,Q24958681,Aiuaba Ecological Station,NONE
Parque Estadual Alberto Lofgren (Horto),5003,nature reserve in Brazil (Parque Estadual),Parque Estadual Alberto Lofgren (Horto),Q3457241,Albert Löfgren State Park,"botanical garden in the city of São Paulo, Brazil"
Reserva de Desenvolvimento Sustentável Alcobaça,3168,nature reserve in Brazil (Reserva de Desenvolvimento Sustentável),Reserva de Desenvolvimento Sustentável Alcobaça,Q96613945,NONE,NONE
Área de Proteção Ambiental Aldeia Beberibe,5479,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Aldeia Beberibe,Q96610451,Área de Proteção Ambiental Aldeia-Beberibe,NONE
Parque Estadual Altamiro de Moura Pacheco,2576,nature reserve in Brazil (Parque Estadual),Parque Estadual Altamiro de Moura Pacheco,Q10344983,Altamiro de Moura Pacheco State Park,NONE
Parque Nacional Alto Cariri,5140,nature reserve in Brazil (Parque Nacional),Parque Nacional Alto Cariri,Q18481085,Alto Cariri National Park,NONE
Reserva Biológica Alto da Serra de Paranapiacaba,1073,nature reserve in Brazil (Reserva Biológica),Reserva Biológica Alto da Serra de Paranapiacaba,Q49137485,Reserva Biológica Alto da Serra de Paranapiacaba,"biological reserve in Santo André, Brazil"
Área de Proteção Ambiental Alto Iguaçu,5232,nature reserve in Brazil (Área de Proteção Ambiental),Área de Proteção Ambiental Alto Iguaçu,Q96611278,Área de Proteção Ambiental do Alto Iguaçu,NONE
Estação Ecológica Alto Maués,4855,nature reserve in Brazil (Estação Ecológica),Estação Ecológica Alto Maué,Q24912081,Alto Maués Ecological Station,NONE
