Name,Category,Area (ha),Code,URL
PES Abaitará,PES,152,,http://uc.socioambiental.org/pt-br/arp/5563
REBIO Abufari,REBIO,288000,0000.00.0194,http://uc.socioambiental.org/pt-br/arp/617
PES Acaraí,PES,6667,0000.42.0791,http://uc.socioambiental.org/pt-br/arp/4816
PARNA Acari,PARNA,896407,0000.00.3410,http://uc.socioambiental.org/pt-br/arp/4847
ESEC Acauã,ESEC,5196,0000.31.1756,http://uc.socioambiental.org/pt-br/arp/2134
RESEX Acaú-Goiana,RESEX,6678,0000.00.1563,http://uc.socioambiental.org/pt-br/arp/4866
FLONA Açu,FLONA,215,0000.00.0082,http://uc.socioambiental.org/pt-br/arp/2792
FES Afluente do Complexo do Seringal Jurupari (PROVISÒRIA),FES,155120,,http://uc.socioambiental.org/pt-br/arp/5460
REBIO Aguaí,REBIO,7673,0000.42.0781,http://uc.socioambiental.org/pt-br/arp/1155
ESEC Água Limpa,ESEC,71,0000.31.0383,http://uc.socioambiental.org/pt-br/arp/2114
PES Aguapeí,PES,9044,0000.35.0845,http://uc.socioambiental.org/pt-br/arp/2940
PES Águas da Billings,PES,-,0000.35.3656,http://uc.socioambiental.org/pt-br/arp/6031
PES Águas da Prata,PES,48,0000.35.0869,http://uc.socioambiental.org/pt-br/arp/1055
ARIE Águas de São João,ARIE,2650,0000.52.1752,http://uc.socioambiental.org/pt-br/arp/3081
ESEC Águas do Cuiabá,ESEC,11328,0000.51.0454,http://uc.socioambiental.org/pt-br/arp/2311
PES Águas do Paraíso,PES,-,,http://uc.socioambiental.org/pt-br/arp/6050
ESEC Águas Emendadas,ESEC,10547,0000.53.1634,http://uc.socioambiental.org/pt-br/arp/1299
ARIE Águas Emendadas dos Inhamuns,ARIE,407,0000.23.3483,http://uc.socioambiental.org/pt-br/arp/5646
PES Águas Lindas,PES,2009,0000.52.3992,http://uc.socioambiental.org/pt-br/arp/5644
PES Águas Quentes,PES,1487.47998046875,0000.51.1467,http://uc.socioambiental.org/pt-br/arp/1175
APA Águas Vertentes,APA,-,0000.31.0405,http://uc.socioambiental.org/pt-br/arp/2821
RVS Aimorés,RVS,-,0000.35.3891,http://uc.socioambiental.org/pt-br/arp/5652
ESEC Aiuaba,ESEC,11525,0000.00.0048,http://uc.socioambiental.org/pt-br/arp/1008
PES Alberto Lofgren (Horto),PES,174,,http://uc.socioambiental.org/pt-br/arp/5003
RDS Alcobaça,RDS,36128,0000.15.1030,http://uc.socioambiental.org/pt-br/arp/3168
APA Aldeia Beberibe,APA,31634,0000.26.1928,http://uc.socioambiental.org/pt-br/arp/5479
APA Algodoal-Maiandeua,APA,2378,0000.15.1024,http://uc.socioambiental.org/pt-br/arp/774
FLONA Altamira,FLONA,689012,0000.00.0083,http://uc.socioambiental.org/pt-br/arp/1328
PES Altamiro de Moura Pacheco,PES,3139,0000.52.0899,http://uc.socioambiental.org/pt-br/arp/2576
PARNA Alto Cariri,PARNA,19264,0000.00.1910,http://uc.socioambiental.org/pt-br/arp/5140
PES Alto Cariri (PES),PES,6151,0000.31.1773,http://uc.socioambiental.org/pt-br/arp/4699
REBIO Alto da Serra de Paranapiacaba,REBIO,336,,http://uc.socioambiental.org/pt-br/arp/1073
APA Alto Iguaçu,APA,22109,0000.33.2805,http://uc.socioambiental.org/pt-br/arp/5232
RESEX Alto Juruá,RESEX,506186,0000.00.1517,http://uc.socioambiental.org/pt-br/arp/625
ESEC Alto Maués,ESEC,668160,0000.00.3131,http://uc.socioambiental.org/pt-br/arp/4855
