name,ID,Description
PES Abaitará,5563,nature reserve in Brazil (PES)
REBIO Abufari,617,nature reserve in Brazil (REBIO)
PES Acaraí,4816,nature reserve in Brazil (PES)
PARNA Acari,4847,nature reserve in Brazil (PARNA)
ESEC Acauã,2134,nature reserve in Brazil (ESEC)
RESEX Acaú-Goiana,4866,nature reserve in Brazil (RESEX)
FLONA Açu,2792,nature reserve in Brazil (FLONA)
FES Afluente do Complexo do Seringal Jurupari (PROVISÒRIA),5460,nature reserve in Brazil (FES)
REBIO Aguaí,1155,nature reserve in Brazil (REBIO)
ESEC Água Limpa,2114,nature reserve in Brazil (ESEC)
PES Aguapeí,2940,nature reserve in Brazil (PES)
PES Águas da Billings,6031,nature reserve in Brazil (PES)
PES Águas da Prata,1055,nature reserve in Brazil (PES)
ARIE Águas de São João,3081,nature reserve in Brazil (ARIE)
ESEC Águas do Cuiabá,2311,nature reserve in Brazil (ESEC)
PES Águas do Paraíso,6050,nature reserve in Brazil (PES)
ESEC Águas Emendadas,1299,nature reserve in Brazil (ESEC)
ARIE Águas Emendadas dos Inhamuns,5646,nature reserve in Brazil (ARIE)
PES Águas Lindas,5644,nature reserve in Brazil (PES)
PES Águas Quentes,1175,nature reserve in Brazil (PES)
APA Águas Vertentes,2821,nature reserve in Brazil (APA)
RVS Aimorés,5652,nature reserve in Brazil (RVS)
ESEC Aiuaba,1008,nature reserve in Brazil (ESEC)
PES Alberto Lofgren (Horto),5003,nature reserve in Brazil (PES)
RDS Alcobaça,3168,nature reserve in Brazil (RDS)
APA Aldeia Beberibe,5479,nature reserve in Brazil (APA)
APA Algodoal-Maiandeua,774,nature reserve in Brazil (APA)
FLONA Altamira,1328,nature reserve in Brazil (FLONA)
PES Altamiro de Moura Pacheco,2576,nature reserve in Brazil (PES)
PARNA Alto Cariri,5140,nature reserve in Brazil (PARNA)
PES Alto Cariri (PES),4699,nature reserve in Brazil (PES)
REBIO Alto da Serra de Paranapiacaba,1073,nature reserve in Brazil (REBIO)
APA Alto Iguaçu,5232,nature reserve in Brazil (APA)
RESEX Alto Juruá,625,nature reserve in Brazil (RESEX)
ESEC Alto Maués,4855,nature reserve in Brazil (ESEC)
APA Alto Mucuri,5483,nature reserve in Brazil (APA)
APA Altos Cursos dos Rios Gurguéia e Uruçuí-Vermelho,5468,nature reserve in Brazil (APA)
RESEX Alto Tarauacá,1378,nature reserve in Brazil (RESEX)
RDS Amanã,1316,nature reserve in Brazil (RDS)
FLONA Amanã,4443,nature reserve in Brazil (FLONA)
FLONA Amapá,637,nature reserve in Brazil (FLONA)
FES Amapá,4804,nature reserve in Brazil (FES)
PES Amaporã (Jurema),3049,nature reserve in Brazil (PES)
FLONA Amazonas,638,nature reserve in Brazil (FLONA)
PARNA Amazônia,590,nature reserve in Brazil (PARNA)
RBIOSF Amazonia Central,5082,nature reserve in Brazil (RBIOSF)
FLONA Anauá,4267,nature reserve in Brazil (FLONA)
PARNA Anavilhanas,601,nature reserve in Brazil (PARNA)
ESEC Angatuba (ESEC),888,nature reserve in Brazil (ESEC)
FES Angatuba (FES),2787,nature reserve in Brazil (FES)
RESEX Angelim,3035,nature reserve in Brazil (RESEX)
APA Anhatomirim,939,nature reserve in Brazil (APA)
FES Antimary,1160,nature reserve in Brazil (FES)
PARNA Aparados da Serra,881,nature reserve in Brazil (PARNA)
RESEC Apiacás,2154,nature reserve in Brazil (RESEC)
FES Apuí,4260,nature reserve in Brazil (FES)
RESEX Aquariquara,3034,nature reserve in Brazil (RESEX)
PES ARA,2210,nature reserve in Brazil (PES)
ESEC Aracuri-Esmeralda,934,nature reserve in Brazil (ESEC)
FES Araguaia,3257,nature reserve in Brazil (FES)
PARNA Araguaia,591,nature reserve in Brazil (PARNA)
PES Araguaia,2264,nature reserve in Brazil (PES)
PES Araguaia (PES- GO),3256,nature reserve in Brazil (PES)
RESEX Arapiranga-Tromaí,5454,nature reserve in Brazil (RESEX)
RESEX Arapixi,4484,nature reserve in Brazil (RESEX)
FERS Araras,3019,nature reserve in Brazil (FERS)
REBIO Araras (REBIO),2185,nature reserve in Brazil (REBIO)
RVS Ararinha Azul,5572,nature reserve in Brazil (RVS)
APA Ararinha Azul,5571,nature reserve in Brazil (APA)
FLONA Araripe-Apodi,1000,nature reserve in Brazil (FLONA)
ESEC Aratinga,2715,nature reserve in Brazil (ESEC)
PARNA Araucárias,4383,nature reserve in Brazil (PARNA)
